job_id,job_title,company_name,location,company_name,company_size,industry
109,ML Engineer,Garcia PLC,"Sanfordmouth, GW",Garcia PLC,Large,Education
110,Quant Researcher,Steele-Norman,"Elainefurt, BS",Steele-Norman,Mid,Healthcare
111,AI Researcher,Garcia Ltd,"Brownstad, LU",Garcia Ltd,Large,Education
112,AI Researcher,Hill LLC,"Lake Christopher, QA",Hill LLC,Large,Healthcare
113,NLP Engineer,"Morales, Thomas and Miller","Millermouth, GY","Morales, Thomas and Miller",Mid,Healthcare
114,Data Scientist,Kelly-Novak,"Nicoleside, AD",Kelly-Novak,Mid,Finance
115,Quant Researcher,Martin-Hernandez,"North Patrick, KE",Martin-Hernandez,Startup,Tech
116,NLP Engineer,Price-Dean,"Dennistown, IQ",Price-Dean,Large,Education
117,Data Analyst,Ruiz Inc,"Rodriguezfurt, LI",Ruiz Inc,Large,Automotive
118,Data Analyst,"Hudson, Burton and Campbell","Sullivanburgh, BJ","Hudson, Burton and Campbell",Startup,E-commerce
119,NLP Engineer,Roberson Inc,"New Justin, ZW",Roberson Inc,Mid,Automotive
120,NLP Engineer,Gutierrez PLC,"West Fredside, PW",Gutierrez PLC,Mid,Retail
121,AI Researcher,"King, Chambers and Brown","Eriktown, GT","King, Chambers and Brown",Mid,Retail
122,AI Researcher,Shannon LLC,"Port Robert, TR",Shannon LLC,Large,Finance
123,Computer Vision Engineer,Thompson-Norris,"Davidfort, CU",Thompson-Norris,Startup,Finance
124,Quant Researcher,Davis and Sons,"Carrollland, SE",Davis and Sons,Large,E-commerce
125,NLP Engineer,"Reed, Garcia and French","West Richardborough, BE","Reed, Garcia and French",Startup,E-commerce
126,Computer Vision Engineer,Anderson-Cruz,"Jasonshire, TH",Anderson-Cruz,Large,Tech
127,Quant Researcher,King PLC,"East Sheriton, SV",King PLC,Large,Finance
128,AI Product Manager,Baker-Gomez,"Sarahview, SE",Baker-Gomez,Large,Finance
129,NLP Engineer,"Patterson, Bruce and Herring","Davechester, LR","Patterson, Bruce and Herring",Mid,Retail
130,Data Analyst,Jackson Inc,"Allenton, UG",Jackson Inc,Startup,Education
131,NLP Engineer,"Thompson, Lewis and Gonzalez","Westland, KM","Thompson, Lewis and Gonzalez",Large,E-commerce
132,NLP Engineer,Mclean Inc,"Shermanshire, MM",Mclean Inc,Large,Healthcare
133,AI Researcher,Moore Inc,"Jamesborough, GB",Moore Inc,Mid,Automotive
134,AI Researcher,Flores-Dalton,"East Edward, MV",Flores-Dalton,Mid,Automotive
135,Data Analyst,Nguyen and Sons,"Youngborough, CF",Nguyen and Sons,Mid,Healthcare
136,NLP Engineer,Russell Inc,"Morrowview, RS",Russell Inc,Mid,Finance
137,Computer Vision Engineer,Castillo and Sons,"North Sheilamouth, JP",Castillo and Sons,Mid,Education
138,AI Product Manager,Price PLC,"Randallside, CZ",Price PLC,Startup,Finance
139,AI Product Manager,"Payne, Vasquez and Arnold","Danielfurt, GW","Payne, Vasquez and Arnold",Large,Healthcare
140,Data Analyst,Roth LLC,"Royville, BG",Roth LLC,Startup,Retail
141,Quant Researcher,Bryant and Sons,"Port Allisonfurt, SN",Bryant and Sons,Large,Automotive
142,ML Engineer,"Morris, Williams and Campbell","South Heatherside, KZ","Morris, Williams and Campbell",Startup,Healthcare
143,AI Product Manager,Perez Ltd,"West Susan, NG",Perez Ltd,Large,Healthcare
144,Data Scientist,Smith-Hernandez,"Shelbyberg, AO",Smith-Hernandez,Startup,Education
145,Data Analyst,"Barber, Green and Fernandez","Ryanberg, MD","Barber, Green and Fernandez",Mid,Retail
146,ML Engineer,"Baker, Nichols and Chen","West Carloston, CO","Baker, Nichols and Chen",Large,Education
147,AI Researcher,Crawford-Cooper,"Calderonfurt, KN",Crawford-Cooper,Mid,E-commerce
148,NLP Engineer,"Manning, Hernandez and Serrano","New Crystalport, BF","Manning, Hernandez and Serrano",Large,Retail
149,Data Analyst,Sanchez and Sons,"North Melissa, NL",Sanchez and Sons,Startup,E-commerce
150,Computer Vision Engineer,Gomez-Mosley,"East James, CR",Gomez-Mosley,Mid,Automotive
151,AI Researcher,"Knox, Kirby and Rogers","Cynthiamouth, SC","Knox, Kirby and Rogers",Startup,Education
152,ML Engineer,Johnson-Hansen,"New Christopher, KG",Johnson-Hansen,Mid,E-commerce
153,AI Product Manager,Allen-Carr,"West Jamesborough, BT",Allen-Carr,Mid,Finance
154,AI Researcher,Carroll-Peterson,"Lake Amanda, PG",Carroll-Peterson,Startup,Education
155,NLP Engineer,Castillo and Sons,"New Monicaborough, KH",Castillo and Sons,Mid,Healthcare
156,Data Analyst,Dixon-Fields,"New Christinastad, GY",Dixon-Fields,Startup,Automotive
157,Computer Vision Engineer,Ashley-Espinoza,"Elizabethchester, KZ",Ashley-Espinoza,Startup,Education
158,NLP Engineer,"Scott, Nelson and Cooke","Hayesberg, AG","Scott, Nelson and Cooke",Mid,Education
159,Quant Researcher,Wright-Pennington,"Bentonland, BG",Wright-Pennington,Large,Finance
160,Data Analyst,Garcia-Martinez,"Michaeltown, UY",Garcia-Martinez,Large,Education
161,Quant Researcher,Ryan-Ward,"Hernandezfurt, MX",Ryan-Ward,Mid,Education
162,NLP Engineer,"Ross, Torres and Griffith","Jessicamouth, PS","Ross, Torres and Griffith",Large,Healthcare
163,ML Engineer,"Contreras, Taylor and Nelson","North Danielfort, LC","Contreras, Taylor and Nelson",Startup,Education
164,NLP Engineer,French Inc,"East Ritaburgh, AM",French Inc,Mid,Finance
165,AI Product Manager,"Roth, Le and Hamilton","Lake Eriktown, TZ","Roth, Le and Hamilton",Large,Healthcare
166,Computer Vision Engineer,"Boyd, Gallagher and Thompson","Brandonton, RO","Boyd, Gallagher and Thompson",Large,Healthcare
167,Computer Vision Engineer,Benjamin-Nguyen,"Barryborough, JM",Benjamin-Nguyen,Startup,Tech
168,Data Analyst,Coleman-Jimenez,"West Alexanderberg, MG",Coleman-Jimenez,Mid,Automotive
169,Data Analyst,Williams-Gross,"Ericport, BR",Williams-Gross,Startup,Finance
170,ML Engineer,Gonzalez Ltd,"Johnsonmouth, BS",Gonzalez Ltd,Mid,E-commerce
171,AI Product Manager,Hart-Miller,"South Gary, BN",Hart-Miller,Startup,E-commerce
172,AI Researcher,Kim Inc,"West Ralphview, SL",Kim Inc,Mid,Tech
173,Data Scientist,Horton LLC,"Debraview, HU",Horton LLC,Mid,Tech
174,AI Product Manager,Mendoza Ltd,"North Michael, CU",Mendoza Ltd,Large,Retail
175,AI Product Manager,"Alexander, Warner and Mendez","Joneston, TL","Alexander, Warner and Mendez",Mid,Tech
176,NLP Engineer,Williams Ltd,"Port Ariel, TR",Williams Ltd,Mid,Automotive
177,Quant Researcher,Mills Group,"Johnathanmouth, HN",Mills Group,Mid,Finance
178,AI Product Manager,Jordan-Graves,"East Jennifer, EE",Jordan-Graves,Startup,Healthcare
179,AI Product Manager,Casey-Smith,"Romerobury, BI",Casey-Smith,Mid,Automotive
180,AI Researcher,Melton-Turner,"West Chelseafurt, AU",Melton-Turner,Startup,Retail
181,Data Analyst,Gutierrez-Hernandez,"Lake Thomas, MD",Gutierrez-Hernandez,Large,E-commerce
182,NLP Engineer,"Oliver, Tran and Jackson","North Briannafort, PH","Oliver, Tran and Jackson",Startup,Finance
183,AI Researcher,Diaz-Hardy,"Davidstad, BY",Diaz-Hardy,Startup,Healthcare
184,Quant Researcher,White-Hayes,"West Derek, VU",White-Hayes,Large,Automotive
185,Computer Vision Engineer,Dominguez Ltd,"East Christopher, EE",Dominguez Ltd,Mid,Education
186,Data Analyst,"Welch, Green and Williams","Emmafurt, GN","Welch, Green and Williams",Large,E-commerce
187,AI Researcher,Reed LLC,"Andreside, GA",Reed LLC,Large,Healthcare
188,Computer Vision Engineer,Brown and Sons,"New Donald, CU",Brown and Sons,Large,Retail
189,Data Scientist,Gutierrez Group,"New Andrea, ST",Gutierrez Group,Large,Automotive
190,AI Product Manager,"Robinson, Stafford and Hoffman","Palmerburgh, CF","Robinson, Stafford and Hoffman",Large,Retail
191,Data Analyst,"Wu, Browning and Ramos","North Louis, UY","Wu, Browning and Ramos",Mid,Tech
192,AI Researcher,Jones-Curtis,"North Nataliemouth, SR",Jones-Curtis,Mid,Education
193,ML Engineer,Lewis-Brooks,"Owenshaven, LY",Lewis-Brooks,Mid,Retail
194,Data Scientist,"Hobbs, Lawson and Robertson","Port Ricardo, SR","Hobbs, Lawson and Robertson",Large,Retail
195,Quant Researcher,"Gonzales, Lane and Hart","Kaylaland, DE","Gonzales, Lane and Hart",Mid,Healthcare
196,NLP Engineer,Kim PLC,"North Jamietown, KE",Kim PLC,Mid,Retail
197,AI Product Manager,"Vasquez, Fleming and Jones","East Melindastad, TO","Vasquez, Fleming and Jones",Startup,Tech
198,Data Analyst,Rice Inc,"East Linda, KP",Rice Inc,Mid,Automotive
199,Quant Researcher,"Morris, Jensen and Hamilton","Port Mckenzie, BO","Morris, Jensen and Hamilton",Mid,Tech
200,AI Product Manager,Gonzalez and Sons,"New Traceyborough, BG",Gonzalez and Sons,Startup,Education
201,Data Scientist,Robinson-Hall,"Flowersberg, MG",Robinson-Hall,Large,E-commerce
202,AI Product Manager,Mendoza Ltd,"Chandlerville, RS",Mendoza Ltd,Mid,Finance
203,NLP Engineer,Richards-Barnes,"Williamton, TM",Richards-Barnes,Large,Finance
204,Quant Researcher,Bailey-Harris,"Lake Sarah, SY",Bailey-Harris,Startup,Automotive
205,Data Analyst,Soto and Sons,"East Johnton, HR",Soto and Sons,Mid,Automotive
206,Data Scientist,Williams Ltd,"Samuelhaven, BO",Williams Ltd,Startup,Healthcare
207,Computer Vision Engineer,Lane-Weaver,"Garciamouth, KI",Lane-Weaver,Large,Retail
208,AI Product Manager,Hernandez PLC,"Lake Charlesmouth, CL",Hernandez PLC,Startup,Education
209,AI Product Manager,Ortiz-Mcfarland,"Reyesview, NR",Ortiz-Mcfarland,Large,Finance
210,Data Scientist,Rice-Hendricks,"East William, NZ",Rice-Hendricks,Mid,Healthcare
211,Computer Vision Engineer,"Brown, Jackson and Carr","Greeneton, LU","Brown, Jackson and Carr",Mid,E-commerce
212,AI Product Manager,"Kelley, Steele and Bell","South Anthonyfurt, BO","Kelley, Steele and Bell",Mid,Finance
213,Data Analyst,Cline PLC,"Hannahside, KI",Cline PLC,Mid,Tech
214,Quant Researcher,Shah-White,"Lake Erikburgh, ZM",Shah-White,Large,Finance
215,Data Scientist,Davis-Butler,"South Zacharyburgh, ES",Davis-Butler,Mid,Automotive
216,NLP Engineer,"Newton, Kelly and Martinez","Lake Johnchester, CG","Newton, Kelly and Martinez",Mid,Automotive
217,Computer Vision Engineer,Berry-Lewis,"Melissaton, LA",Berry-Lewis,Startup,E-commerce
218,AI Researcher,"Brandt, Fuller and Cruz","New Sydneyton, PH","Brandt, Fuller and Cruz",Large,Finance
219,Quant Researcher,Turner PLC,"Jasonfurt, BW",Turner PLC,Mid,Tech
220,AI Researcher,Sanchez Ltd,"Barnetthaven, IN",Sanchez Ltd,Startup,Automotive
221,ML Engineer,Crawford Group,"Abbottmouth, IN",Crawford Group,Mid,Automotive
222,Data Scientist,"Humphrey, Barrett and Colon","Davidmouth, IE","Humphrey, Barrett and Colon",Large,E-commerce
223,Quant Researcher,Obrien PLC,"Mariochester, BY",Obrien PLC,Large,Education
224,Data Analyst,"Stanton, Martin and Martin","West Sally, GR","Stanton, Martin and Martin",Large,Automotive
225,AI Researcher,"James, Payne and Roth","West Ernest, BY","James, Payne and Roth",Mid,Education
226,Computer Vision Engineer,"Bowen, Flores and Williams","Alanside, SK","Bowen, Flores and Williams",Mid,Finance
227,Quant Researcher,Flynn LLC,"Carrollview, HN",Flynn LLC,Mid,Retail
228,AI Researcher,"Campos, Floyd and Clark","Changside, DJ","Campos, Floyd and Clark",Mid,Finance
229,AI Product Manager,"Henderson, Lynch and Lindsey","Thomasland, NI","Henderson, Lynch and Lindsey",Mid,Education
230,AI Product Manager,Mitchell-Peters,"Melissaview, GN",Mitchell-Peters,Mid,Tech
231,AI Product Manager,Mcfarland Inc,"Gatesburgh, ZM",Mcfarland Inc,Mid,Tech
232,AI Product Manager,Jones and Sons,"Lake Jose, ML",Jones and Sons,Mid,Finance
233,Computer Vision Engineer,"Nash, Anderson and Brown","New Jeffrey, SV","Nash, Anderson and Brown",Startup,Retail
234,Data Analyst,"Whitehead, Summers and Nelson","East Bryce, IS","Whitehead, Summers and Nelson",Startup,Education
235,NLP Engineer,Gonzalez-Thompson,"Graceville, TO",Gonzalez-Thompson,Mid,Education
236,AI Product Manager,"Simon, Price and Dickson","Williamsside, NE","Simon, Price and Dickson",Mid,Tech
237,AI Researcher,Strickland-Stevenson,"East Mary, LI",Strickland-Stevenson,Mid,Automotive
238,AI Researcher,Kramer Inc,"Garzaside, NA",Kramer Inc,Mid,Automotive
239,AI Product Manager,Mahoney-Collins,"Marktown, AO",Mahoney-Collins,Startup,Finance
240,Quant Researcher,Ortiz PLC,"South Staceyport, IN",Ortiz PLC,Large,Finance
241,Data Analyst,"Donaldson, Cox and Lopez","Port Marcusville, US","Donaldson, Cox and Lopez",Large,Finance
242,Computer Vision Engineer,"Clark, Baker and Parks","Singhfort, PA","Clark, Baker and Parks",Mid,Automotive
243,Computer Vision Engineer,Anderson-Gonzalez,"Samuelton, DK",Anderson-Gonzalez,Startup,E-commerce
244,Data Analyst,Walker-Becker,"Port Andrewside, MT",Walker-Becker,Mid,Retail
245,Data Scientist,Hall Group,"New Manuelbury, LS",Hall Group,Mid,Finance
246,Data Scientist,Blake-Daugherty,"Lake Adamfurt, BR",Blake-Daugherty,Startup,E-commerce
247,Quant Researcher,Powers Group,"Grahamshire, PH",Powers Group,Mid,Education
248,Data Scientist,Bernard-Herrera,"Port Denise, MV",Bernard-Herrera,Mid,Education
249,AI Product Manager,Thomas Group,"New Melissa, KM",Thomas Group,Startup,Education
250,Data Scientist,Phelps-Johnson,"Lake Kristen, SY",Phelps-Johnson,Mid,Education
251,AI Researcher,Young-Brown,"North Samuel, UY",Young-Brown,Large,Healthcare
252,NLP Engineer,"Alvarez, Martinez and Miller","Kimberlyfort, MN","Alvarez, Martinez and Miller",Mid,Finance
253,Computer Vision Engineer,Phillips-Baker,"West James, SG",Phillips-Baker,Startup,Education
254,Data Scientist,Cochran-Bailey,"West Andrew, NA",Cochran-Bailey,Startup,Retail
255,AI Product Manager,Vazquez LLC,"East Bruce, AM",Vazquez LLC,Startup,Education
256,AI Product Manager,Carey and Sons,"Robertfort, LK",Carey and Sons,Mid,Education
257,AI Product Manager,"Marshall, Mccoy and Montgomery","Greggbury, KI","Marshall, Mccoy and Montgomery",Large,Healthcare
258,ML Engineer,Hart-Peterson,"South Christopher, CN",Hart-Peterson,Mid,Automotive
259,AI Researcher,Clark-Sharp,"Lake Mark, BN",Clark-Sharp,Startup,Retail
260,NLP Engineer,"Daniels, Martinez and Brown","Mariestad, SG","Daniels, Martinez and Brown",Mid,E-commerce
261,Data Analyst,Lawson-Mitchell,"Jacobchester, PL",Lawson-Mitchell,Large,Finance
262,Data Scientist,"James, Johnson and Pineda","Maxwellburgh, JO","James, Johnson and Pineda",Large,Education
263,Computer Vision Engineer,Allen-Parker,"North Dakota, BJ",Allen-Parker,Startup,Healthcare
264,Data Scientist,Russell and Sons,"Gallegosbury, MG",Russell and Sons,Startup,Automotive
265,Data Analyst,"Peters, Mcdaniel and Adams","Pruittchester, PG","Peters, Mcdaniel and Adams",Mid,E-commerce
266,Quant Researcher,Jones PLC,"West Ricky, US",Jones PLC,Startup,Retail
267,Data Analyst,"Taylor, Ruiz and Padilla","Barnettburgh, BO","Taylor, Ruiz and Padilla",Mid,Education
268,AI Product Manager,Johnson-Roberson,"Port Rachel, HT",Johnson-Roberson,Startup,Retail
269,AI Researcher,Carey and Sons,"Lindastad, LB",Carey and Sons,Startup,Healthcare
270,AI Product Manager,"Willis, Smith and Norris","South Aaron, MT","Willis, Smith and Norris",Startup,Finance
271,AI Researcher,Gallagher Inc,"Cathyton, AL",Gallagher Inc,Startup,E-commerce
272,Computer Vision Engineer,Jones Inc,"North Thomas, GM",Jones Inc,Large,E-commerce
273,Data Scientist,Coleman-Yoder,"Maxwellchester, LK",Coleman-Yoder,Large,Education
274,ML Engineer,Mcdonald Ltd,"New David, MG",Mcdonald Ltd,Large,Automotive
275,AI Researcher,Anderson-Campbell,"Bestview, AG",Anderson-Campbell,Mid,Education
276,Computer Vision Engineer,"Garner, Massey and Lozano","New Douglasburgh, TV","Garner, Massey and Lozano",Startup,E-commerce
277,Data Scientist,"White, Waters and Johnson","Daleville, CL","White, Waters and Johnson",Startup,Tech
278,AI Product Manager,Cox-Griffin,"East Melissatown, IN",Cox-Griffin,Mid,Tech
279,NLP Engineer,Smith Inc,"Perezfurt, SZ",Smith Inc,Startup,Tech
280,Quant Researcher,Mason Inc,"Angelafurt, BT",Mason Inc,Large,Automotive
281,Data Analyst,Clark Group,"Lauraside, US",Clark Group,Mid,Tech
282,Data Analyst,Sutton-Weber,"West Anna, MK",Sutton-Weber,Mid,Automotive
