job_id,job_title,company_name,location,skills_required,skills_count,has_programming_lang,has_cloud_platform,has_ml_framework,skill_tensorflow,skill_excel,skill_pandas,skill_fastapi,skill_numpy,skill_reinforcement_learning,skill_azure,skill_sql,skill_hugging_face,skill_keras,skill_power_bi,skill_aws,skill_gcp,skill_python,skill_langchain,skill_pytorch,skill_scikit-learn,skill_flask,skill_cuda,skill_r
37,AI Researcher,"Smith, Haas and Mendez","Lake John, AU","Excel, SQL, Python",3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
38,ML Engineer,"Briggs, Shaw and Berry","East Ashleyland, PL","SQL, Hugging Face, TensorFlow",3,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
39,Data Scientist,Boyd PLC,"Port Misty, NL","PyTorch, Power BI, AWS, FastAPI",4,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
40,Data Analyst,"Sanders, Mejia and Townsend","Deleonchester, HN","Power BI, PyTorch, GCP, CUDA, Keras, Scikit-learn",6,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,1,1
41,Quant Researcher,Hernandez Inc,"Nicoleport, BF","NumPy, AWS, Excel, SQL, Keras",5,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
42,NLP Engineer,"Parrish, White and Grant","Kimside, BW","R, Power BI, CUDA, MLflow",4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
43,AI Product Manager,"Carroll, Lucero and Lambert","Simsside, TD","NumPy, SQL, Python, Reinforcement Learning, LangChain",5,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
44,Quant Researcher,"Thomas, Waller and Kelly","South Jeremiah, MX","Hugging Face, Flask, TensorFlow, Excel, SQL",5,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
45,Quant Researcher,"Franklin, Wright and Berg","Ramirezmouth, PK","Hugging Face, Pandas, CUDA, LangChain, FastAPI",5,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
46,ML Engineer,"Coleman, Gray and Roach","New Rachelmouth, IT","LangChain, AWS, GCP",3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
47,Data Scientist,Mooney-Decker,"Jennyland, TR","Scikit-learn, PyTorch, Flask, Azure",4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1
48,Computer Vision Engineer,Wood LLC,"Port Johnville, MA","GCP, TensorFlow, Power BI",3,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
49,NLP Engineer,Copeland Group,"North Josephshire, YE","TensorFlow, LangChain, PyTorch, Power BI, R",5,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1
50,NLP Engineer,Richards PLC,"Lewismouth, TD","Power BI, CUDA, C++, Pandas, SQL, AWS",6,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1
51,AI Product Manager,"Melendez, Williams and Williamson","Steinside, IT","TensorFlow, Keras, PyTorch, AWS, Scikit-learn",5,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1
52,Computer Vision Engineer,"Ellis, Crane and Boyle","North Jason, MR","Azure, Keras, Scikit-learn, Hugging Face, Excel, R",6,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1
53,Data Scientist,Foley-Moore,"Thomasfort, KG","Keras, Pandas, Python, FastAPI, CUDA, Scikit-learn",6,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1
54,Quant Researcher,Wright and Sons,"Chavezstad, TG","R, SQL, Python, PyTorch",4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
55,Quant Researcher,Williams-Vargas,"Carlland, ME","Keras, Excel, FastAPI, Azure, R, PyTorch",6,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1
56,ML Engineer,Hill-Huff,"Jessicamouth, PT","Power BI, LangChain, Flask, Excel, SQL, CUDA",6,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1
57,Data Analyst,Meyer PLC,"Caitlynmouth, MR","AWS, Excel, Azure",3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
58,ML Engineer,Boyd-Carlson,"Villarrealhaven, KI","Excel, AWS, Keras, Azure, FastAPI, R",6,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
59,AI Researcher,Scott-Gardner,"North Laurie, BI","FastAPI, C++, Excel, Flask, Pandas",5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
60,AI Product Manager,Jackson Group,"East Juliashire, TR","TensorFlow, C++, SQL, Hugging Face, Flask, Power BI",6,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1
61,Data Analyst,"Sullivan, Silva and Sawyer","North Jonathan, NL","Power BI, Excel, GCP",3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
62,AI Product Manager,"Page, Bonilla and Cohen","Port Jacobchester, SB","Python, FastAPI, Scikit-learn, Hugging Face, Power BI, Flask",6,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1
63,Computer Vision Engineer,Young-Wright,"Kaylaburgh, NO","Hugging Face, Keras, Scikit-learn",3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
64,AI Product Manager,Patel PLC,"South Jamie, KM","Reinforcement Learning, LangChain, Python",3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
65,AI Researcher,"Lopez, Nelson and Meyer","Lake Michelleport, RS","Azure, Pandas, Power BI, MLflow",4,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
66,AI Researcher,"Harris, Porter and Walter","Port Kristenmouth, SA","C++, Reinforcement Learning, NumPy, Azure, MLflow, Flask",6,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1
67,AI Product Manager,Dominguez and Sons,"Rodriguezstad, ET","LangChain, FastAPI, SQL",3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
68,Data Analyst,Griffith-Garner,"Meredithview, LS","NumPy, Python, Azure, GCP, C++, Scikit-learn",6,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1
69,Data Analyst,Smith LLC,"South Tylerhaven, LC","Power BI, AWS, NumPy, CUDA, MLflow",5,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
70,Data Analyst,Smith-Jones,"South Karenville, BB","LangChain, PyTorch, Flask",3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1
71,ML Engineer,"Maddox, Steele and Jones","Billyfort, YE","Flask, Scikit-learn, NumPy",3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
72,Quant Researcher,Williams PLC,"New Jefferyfort, TG","SQL, FastAPI, LangChain, Scikit-learn, NumPy, TensorFlow",6,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
73,Data Analyst,"Hurst, Manning and Wood","Petersenborough, VN","Azure, Excel, TensorFlow",3,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
74,NLP Engineer,"Howard, Carr and Joseph","Leeberg, ME","C++, MLflow, CUDA, Hugging Face",4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
75,ML Engineer,Lewis-Smith,"North Christopherfurt, LR","MLflow, NumPy, R, C++, PyTorch",5,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
76,AI Researcher,Luna and Sons,"Weberland, TL","R, Python, Flask",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
77,AI Researcher,King-Sheppard,"Zamorafurt, UA","FastAPI, Hugging Face, PyTorch",3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
78,NLP Engineer,Meyer-Shaffer,"Sharpborough, DM","Pandas, Flask, FastAPI, Reinforcement Learning",4,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
79,Quant Researcher,"Ellis, Page and Smith","North Carriestad, IR","Reinforcement Learning, Flask, NumPy, LangChain",4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
80,ML Engineer,Martinez-Fitzgerald,"South Charles, CI","AWS, TensorFlow, Flask, Power BI",4,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
81,AI Researcher,Johnson Inc,"Lake Kristen, AZ","Reinforcement Learning, Python, Pandas, TensorFlow",4,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
82,Data Analyst,Camacho PLC,"Anthonyland, GQ","R, C++, GCP, Hugging Face, LangChain, TensorFlow",6,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
83,AI Product Manager,Sweeney-Griffith,"Michaelchester, MK","Flask, Azure, C++, Excel",4,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
84,Data Analyst,"Stafford, Owens and Thompson","Lake Debra, AM","MLflow, Hugging Face, Python, Scikit-learn",4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
85,Computer Vision Engineer,"Gonzalez, Watts and Thompson","New Danielburgh, RU","FastAPI, SQL, Flask, CUDA, C++, Scikit-learn",6,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
86,Data Analyst,Graham Group,"Lake Melissaville, PL","LangChain, FastAPI, PyTorch, CUDA, AWS",5,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1
87,Quant Researcher,Ward-Allen,"Jeffreyburgh, SC","C++, Power BI, NumPy",3,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
88,Quant Researcher,"Garrett, Hernandez and Anderson","Whiteville, SE","FastAPI, Scikit-learn, LangChain",3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
89,AI Researcher,Long Inc,"Jacksonmouth, UZ","Flask, Python, Power BI, CUDA",4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1
90,AI Researcher,Cummings-Nash,"Adamton, HR","Python, SQL, C++, FastAPI",4,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
91,NLP Engineer,"Sawyer, Donovan and Vargas","Lake Erica, NL","TensorFlow, Power BI, FastAPI, LangChain, Scikit-learn, Python",6,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1
92,Data Scientist,"Stewart, Gutierrez and Simpson","South Paige, VC","GCP, LangChain, Keras",3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
93,NLP Engineer,Jones-Marshall,"Scottberg, MG","Excel, TensorFlow, Pandas, CUDA",4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
94,NLP Engineer,Murphy-Rosales,"West Jesse, NG","FastAPI, PyTorch, CUDA, Flask, Scikit-learn",5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
95,ML Engineer,Solis-Thornton,"East Autumn, AM","Hugging Face, Python, FastAPI, CUDA, GCP",5,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
96,Computer Vision Engineer,Michael Ltd,"Maldonadoville, PL","PyTorch, MLflow, Scikit-learn, Excel, Pandas",5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
97,AI Researcher,Alexander and Sons,"Richardside, PY","Pandas, R, FastAPI, AWS, MLflow, Python",6,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
98,Computer Vision Engineer,"Travis, Fletcher and Rodriguez","Port Julieburgh, KW","Python, SQL, Power BI, Scikit-learn, FastAPI",5,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
99,Data Analyst,Lozano-Hill,"South Stephanieville, BS","Keras, NumPy, Excel, C++, Pandas",5,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
100,Computer Vision Engineer,"Farmer, Leach and Norris","Williamsbury, DO","Keras, Power BI, MLflow, AWS",4,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
101,ML Engineer,Price-Nichols,"South Fredview, PL","Pandas, MLflow, Hugging Face, SQL",4,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
102,Data Scientist,"Gonzalez, Jackson and Williams","Heatherport, DO","Hugging Face, LangChain, Azure, Scikit-learn, Flask",5,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1
103,Quant Researcher,"Dodson, Palmer and Huber","Alejandromouth, CU","Python, Pandas, NumPy, MLflow",4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
104,Data Scientist,Morris-Sanchez,"New James, CR","Power BI, GCP, Scikit-learn",3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
105,NLP Engineer,Cobb-Lindsey,"West Madison, QA","FastAPI, TensorFlow, NumPy, AWS, Azure",5,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
106,Computer Vision Engineer,Ramirez-Goodwin,"Tanyachester, TW","CUDA, Pandas, GCP, LangChain, Azure, TensorFlow",6,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1
107,Computer Vision Engineer,Duran PLC,"New David, EG","Keras, GCP, SQL",3,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
108,AI Product Manager,Kaiser Group,"South Patricktown, NO","Power BI, FastAPI, Reinforcement Learning, SQL, Keras, AWS",6,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1
109,ML Engineer,Garcia PLC,"Sanfordmouth, GW","AWS, Hugging Face, Flask, CUDA",4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
110,Quant Researcher,Steele-Norman,"Elainefurt, BS","Azure, MLflow, Excel, CUDA",4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
111,AI Researcher,Garcia Ltd,"Brownstad, LU","SQL, Flask, NumPy, Power BI, Excel",5,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1
112,AI Researcher,Hill LLC,"Lake Christopher, QA","GCP, Azure, Reinforcement Learning, TensorFlow, CUDA, FastAPI",6,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1
113,NLP Engineer,"Morales, Thomas and Miller","Millermouth, GY","Python, FastAPI, R",3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
114,Data Scientist,Kelly-Novak,"Nicoleside, AD","Scikit-learn, Pandas, GCP, Python, R",5,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
115,Quant Researcher,Martin-Hernandez,"North Patrick, KE","AWS, Python, GCP, R, C++, FastAPI",6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
116,NLP Engineer,Price-Dean,"Dennistown, IQ","NumPy, LangChain, Excel, Keras",4,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
117,Data Analyst,Ruiz Inc,"Rodriguezfurt, LI","NumPy, Scikit-learn, Keras, TensorFlow, Hugging Face, Excel",6,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1
118,Data Analyst,"Hudson, Burton and Campbell","Sullivanburgh, BJ","TensorFlow, R, Hugging Face",3,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
119,NLP Engineer,Roberson Inc,"New Justin, ZW","Python, Power BI, Pandas, MLflow, Keras, Scikit-learn",6,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1
120,NLP Engineer,Gutierrez PLC,"West Fredside, PW","PyTorch, GCP, NumPy, Python, Pandas, Keras",6,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1
121,AI Researcher,"King, Chambers and Brown","Eriktown, GT","SQL, Excel, Python",3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
122,AI Researcher,Shannon LLC,"Port Robert, TR","GCP, Keras, Azure, SQL, Scikit-learn, NumPy",6,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1
123,Computer Vision Engineer,Thompson-Norris,"Davidfort, CU","Azure, TensorFlow, PyTorch, AWS, Flask",5,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1
124,Quant Researcher,Davis and Sons,"Carrollland, SE","Hugging Face, Power BI, SQL, FastAPI, C++, Reinforcement Learning",6,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1
125,NLP Engineer,"Reed, Garcia and French","West Richardborough, BE","Keras, CUDA, TensorFlow",3,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
126,Computer Vision Engineer,Anderson-Cruz,"Jasonshire, TH","SQL, AWS, Power BI",3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1
127,Quant Researcher,King PLC,"East Sheriton, SV","NumPy, CUDA, Scikit-learn, Keras, Excel, Pandas",6,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
128,AI Product Manager,Baker-Gomez,"Sarahview, SE","NumPy, PyTorch, FastAPI, CUDA, Azure",5,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
129,NLP Engineer,"Patterson, Bruce and Herring","Davechester, LR","Keras, Pandas, MLflow, Scikit-learn",4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
130,Data Analyst,Jackson Inc,"Allenton, UG","MLflow, NumPy, Scikit-learn, Azure, Keras",5,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
131,NLP Engineer,"Thompson, Lewis and Gonzalez","Westland, KM","AWS, Hugging Face, Python, Reinforcement Learning, Scikit-learn, LangChain",6,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1
132,NLP Engineer,Mclean Inc,"Shermanshire, MM","Keras, Pandas, TensorFlow, CUDA",4,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
133,AI Researcher,Moore Inc,"Jamesborough, GB","Power BI, CUDA, Scikit-learn",3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
