job_id,job_title,company_name,location,salary_range_usd,salary_min,salary_max,salary_avg,salary_cluster
28,Data Analyst,"Abbott, Nielsen and Young","New Richard, TD",124616-172767,124616,172767,148691.5,120-150K
29,Data Analyst,Thomas-Ruiz,"South Donaldton, GE",142616-216391,142616,216391,179503.5,150-200K
30,Data Analyst,"Good, Ware and Cruz","North Michael, TT",70932-161568,70932,161568,116250.0,100-120K
31,Quant Researcher,Gay PLC,"Port Patriciaport, TG",54565-94461,54565,94461,74513.0,60-80K
32,Data Scientist,Kirby-Zuniga,"Danielchester, ID",112660-179478,112660,179478,146069.0,120-150K
33,AI Product Manager,"Castillo, Campbell and Robinson","Alexandriaburgh, KN",55330-104941,55330,104941,80135.5,80-100K
34,NLP Engineer,Carter LLC,"West Charles, TT",110439-183071,110439,183071,146755.0,120-150K
35,Computer Vision Engineer,Hall Group,"North Denise, MC",97714-134140,97714,134140,115927.0,100-120K
36,Computer Vision Engineer,Huynh PLC,"Kirbyside, LT",87250-156869,87250,156869,122059.5,120-150K
37,AI Researcher,"Smith, Haas and Mendez","Lake John, AU",77074-163272,77074,163272,120173.0,120-150K
38,ML Engineer,"Briggs, Shaw and Berry","East Ashleyland, PL",116061-159814,116061,159814,137937.5,120-150K
39,Data Scientist,Boyd PLC,"Port Misty, NL",87411-136106,87411,136106,111758.5,100-120K
40,Data Analyst,"Sanders, Mejia and Townsend","Deleonchester, HN",88562-159008,88562,159008,123785.0,120-150K
41,Quant Researcher,Hernandez Inc,"Nicoleport, BF",41935-95608,41935,95608,68771.5,60-80K
42,NLP Engineer,"Parrish, White and Grant","Kimside, BW",126443-145937,126443,145937,136190.0,120-150K
43,AI Product Manager,"Carroll, Lucero and Lambert","Simsside, TD",99978-189975,99978,189975,144976.5,120-150K
44,Quant Researcher,"Thomas, Waller and Kelly","South Jeremiah, MX",65214-151832,65214,151832,108523.0,100-120K
45,Quant Researcher,"Franklin, Wright and Berg","Ramirezmouth, PK",71101-158421,71101,158421,114761.0,100-120K
46,ML Engineer,"Coleman, Gray and Roach","New Rachelmouth, IT",119200-129563,119200,129563,124381.5,120-150K
47,Data Scientist,Mooney-Decker,"Jennyland, TR",122083-203812,122083,203812,162947.5,150-200K
48,Computer Vision Engineer,Wood LLC,"Port Johnville, MA",144773-159408,144773,159408,152090.5,150-200K
49,NLP Engineer,Copeland Group,"North Josephshire, YE",78317-161397,78317,161397,119857.0,100-120K
50,NLP Engineer,Richards PLC,"Lewismouth, TD",75575-120477,75575,120477,98026.0,80-100K
51,AI Product Manager,"Melendez, Williams and Williamson","Steinside, IT",133185-231638,133185,231638,182411.5,150-200K
52,Computer Vision Engineer,"Ellis, Crane and Boyle","North Jason, MR",73140-164506,73140,164506,118823.0,100-120K
53,Data Scientist,Foley-Moore,"Thomasfort, KG",69031-115150,69031,115150,92090.5,80-100K
54,Quant Researcher,Wright and Sons,"Chavezstad, TG",49382-141727,49382,141727,95554.5,80-100K
55,Quant Researcher,Williams-Vargas,"Carlland, ME",135916-233596,135916,233596,184756.0,150-200K
56,ML Engineer,Hill-Huff,"Jessicamouth, PT",149271-215582,149271,215582,182426.5,150-200K
57,Data Analyst,Meyer PLC,"Caitlynmouth, MR",56348-123497,56348,123497,89922.5,80-100K
58,ML Engineer,Boyd-Carlson,"Villarrealhaven, KI",69159-139847,69159,139847,104503.0,100-120K
59,AI Researcher,Scott-Gardner,"North Laurie, BI",78305-162525,78305,162525,120415.0,120-150K
60,AI Product Manager,Jackson Group,"East Juliashire, TR",64238-115477,64238,115477,89857.5,80-100K
61,Data Analyst,"Sullivan, Silva and Sawyer","North Jonathan, NL",53583-148644,53583,148644,101113.5,100-120K
62,AI Product Manager,"Page, Bonilla and Cohen","Port Jacobchester, SB",50457-126635,50457,126635,88546.0,80-100K
63,Computer Vision Engineer,Young-Wright,"Kaylaburgh, NO",97883-172449,97883,172449,135166.0,120-150K
64,AI Product Manager,Patel PLC,"South Jamie, KM",94965-141198,94965,141198,118081.5,100-120K
65,AI Researcher,"Lopez, Nelson and Meyer","Lake Michelleport, RS",81202-154117,81202,154117,117659.5,100-120K
66,AI Researcher,"Harris, Porter and Walter","Port Kristenmouth, SA",106117-199125,106117,199125,152621.0,150-200K
67,AI Product Manager,Dominguez and Sons,"Rodriguezstad, ET",137229-193525,137229,193525,165377.0,150-200K
68,Data Analyst,Griffith-Garner,"Meredithview, LS",40995-54162,40995,54162,47578.5,<60K
69,Data Analyst,Smith LLC,"South Tylerhaven, LC",129140-193460,129140,193460,161300.0,150-200K
70,Data Analyst,Smith-Jones,"South Karenville, BB",86690-120765,86690,120765,103727.5,100-120K
71,ML Engineer,"Maddox, Steele and Jones","Billyfort, YE",85816-149983,85816,149983,117899.5,100-120K
72,Quant Researcher,Williams PLC,"New Jefferyfort, TG",60805-99890,60805,99890,80347.5,80-100K
73,Data Analyst,"Hurst, Manning and Wood","Petersenborough, VN",118377-137651,118377,137651,128014.0,120-150K
74,NLP Engineer,"Howard, Carr and Joseph","Leeberg, ME",81382-175328,81382,175328,128355.0,120-150K
75,ML Engineer,Lewis-Smith,"North Christopherfurt, LR",132555-209536,132555,209536,171045.5,150-200K
76,AI Researcher,Luna and Sons,"Weberland, TL",54185-86768,54185,86768,70476.5,60-80K
77,AI Researcher,King-Sheppard,"Zamorafurt, UA",101020-182230,101020,182230,141625.0,120-150K
78,NLP Engineer,Meyer-Shaffer,"Sharpborough, DM",49529-68621,49529,68621,59075.0,<60K
79,Quant Researcher,"Ellis, Page and Smith","North Carriestad, IR",88756-103530,88756,103530,96143.0,80-100K
80,ML Engineer,Martinez-Fitzgerald,"South Charles, CI",108574-194850,108574,194850,151712.0,150-200K
81,AI Researcher,Johnson Inc,"Lake Kristen, AZ",111184-166588,111184,166588,138886.0,120-150K
82,Data Analyst,Camacho PLC,"Anthonyland, GQ",120456-210505,120456,210505,165480.5,150-200K
83,AI Product Manager,Sweeney-Griffith,"Michaelchester, MK",86740-124608,86740,124608,105674.0,100-120K
84,Data Analyst,"Stafford, Owens and Thompson","Lake Debra, AM",78116-122008,78116,122008,100062.0,100-120K
85,Computer Vision Engineer,"Gonzalez, Watts and Thompson","New Danielburgh, RU",42962-75277,42962,75277,59119.5,<60K
86,Data Analyst,Graham Group,"Lake Melissaville, PL",51640-64834,51640,64834,58237.0,<60K
87,Quant Researcher,Ward-Allen,"Jeffreyburgh, SC",98118-167073,98118,167073,132595.5,120-150K
88,Quant Researcher,"Garrett, Hernandez and Anderson","Whiteville, SE",140819-222611,140819,222611,181715.0,150-200K
89,AI Researcher,Long Inc,"Jacksonmouth, UZ",82496-127505,82496,127505,105000.5,100-120K
90,AI Researcher,Cummings-Nash,"Adamton, HR",124249-174855,124249,174855,149552.0,120-150K
91,NLP Engineer,"Sawyer, Donovan and Vargas","Lake Erica, NL",81426-145890,81426,145890,113658.0,100-120K
92,Data Scientist,"Stewart, Gutierrez and Simpson","South Paige, VC",51104-130405,51104,130405,90754.5,80-100K
93,NLP Engineer,Jones-Marshall,"Scottberg, MG",143177-155682,143177,155682,149429.5,120-150K
94,NLP Engineer,Murphy-Rosales,"West Jesse, NG",139393-162837,139393,162837,151115.0,150-200K
95,ML Engineer,Solis-Thornton,"East Autumn, AM",111746-137892,111746,137892,124819.0,120-150K
96,Computer Vision Engineer,Michael Ltd,"Maldonadoville, PL",107083-124486,107083,124486,115784.5,100-120K
97,AI Researcher,Alexander and Sons,"Richardside, PY",126865-190621,126865,190621,158743.0,150-200K
98,Computer Vision Engineer,"Travis, Fletcher and Rodriguez","Port Julieburgh, KW",127896-227744,127896,227744,177820.0,150-200K
99,Data Analyst,Lozano-Hill,"South Stephanieville, BS",133789-170501,133789,170501,152145.0,150-200K
100,Computer Vision Engineer,"Farmer, Leach and Norris","Williamsbury, DO",126422-179630,126422,179630,153026.0,150-200K
101,ML Engineer,Price-Nichols,"South Fredview, PL",53156-131761,53156,131761,92458.5,80-100K
102,Data Scientist,"Gonzalez, Jackson and Williams","Heatherport, DO",76985-169306,76985,169306,123145.5,120-150K
103,Quant Researcher,"Dodson, Palmer and Huber","Alejandromouth, CU",129308-160166,129308,160166,144737.0,120-150K
104,Data Scientist,Morris-Sanchez,"New James, CR",112263-190554,112263,190554,151408.5,150-200K
105,NLP Engineer,Cobb-Lindsey,"West Madison, QA",147332-158887,147332,158887,153109.5,150-200K
106,Computer Vision Engineer,Ramirez-Goodwin,"Tanyachester, TW",54559-121736,54559,121736,88147.5,80-100K
107,Computer Vision Engineer,Duran PLC,"New David, EG",91427-154726,91427,154726,123076.5,120-150K
108,AI Product Manager,Kaiser Group,"South Patricktown, NO",120983-167455,120983,167455,144219.0,120-150K
109,ML Engineer,Garcia PLC,"Sanfordmouth, GW",108083-168433,108083,168433,138258.0,120-150K
110,Quant Researcher,Steele-Norman,"Elainefurt, BS",43248-86711,43248,86711,64979.5,60-80K
111,AI Researcher,Garcia Ltd,"Brownstad, LU",73459-87186,73459,87186,80322.5,80-100K
112,AI Researcher,Hill LLC,"Lake Christopher, QA",94345-157493,94345,157493,125919.0,120-150K
113,NLP Engineer,"Morales, Thomas and Miller","Millermouth, GY",113621-179602,113621,179602,146611.5,120-150K
114,Data Scientist,Kelly-Novak,"Nicoleside, AD",43828-137950,43828,137950,90889.0,80-100K
115,Quant Researcher,Martin-Hernandez,"North Patrick, KE",118046-186961,118046,186961,152503.5,150-200K
116,NLP Engineer,Price-Dean,"Dennistown, IQ",143236-210339,143236,210339,176787.5,150-200K
117,Data Analyst,Ruiz Inc,"Rodriguezfurt, LI",70478-154317,70478,154317,112397.5,100-120K
118,Data Analyst,"Hudson, Burton and Campbell","Sullivanburgh, BJ",69403-123368,69403,123368,96385.5,80-100K
119,NLP Engineer,Roberson Inc,"New Justin, ZW",143437-196807,143437,196807,170122.0,150-200K
120,NLP Engineer,Gutierrez PLC,"West Fredside, PW",59290-84926,59290,84926,72108.0,60-80K
121,AI Researcher,"King, Chambers and Brown","Eriktown, GT",124112-141184,124112,141184,132648.0,120-150K
122,AI Researcher,Shannon LLC,"Port Robert, TR",93411-137526,93411,137526,115468.5,100-120K
123,Computer Vision Engineer,Thompson-Norris,"Davidfort, CU",98592-132404,98592,132404,115498.0,100-120K
124,Quant Researcher,Davis and Sons,"Carrollland, SE",109693-136678,109693,136678,123185.5,120-150K
125,NLP Engineer,"Reed, Garcia and French","West Richardborough, BE",128381-173902,128381,173902,151141.5,150-200K
126,Computer Vision Engineer,Anderson-Cruz,"Jasonshire, TH",114132-129565,114132,129565,121848.5,120-150K
127,Quant Researcher,King PLC,"East Sheriton, SV",117985-188287,117985,188287,153136.0,150-200K
128,AI Product Manager,Baker-Gomez,"Sarahview, SE",98649-172840,98649,172840,135744.5,120-150K
129,NLP Engineer,"Patterson, Bruce and Herring","Davechester, LR",132259-223631,132259,223631,177945.0,150-200K
130,Data Analyst,Jackson Inc,"Allenton, UG",92116-122876,92116,122876,107496.0,100-120K
131,NLP Engineer,"Thompson, Lewis and Gonzalez","Westland, KM",111421-135658,111421,135658,123539.5,120-150K
132,NLP Engineer,Mclean Inc,"Shermanshire, MM",64185-77841,64185,77841,71013.0,60-80K
133,AI Researcher,Moore Inc,"Jamesborough, GB",114287-213324,114287,213324,163805.5,150-200K
134,AI Researcher,Flores-Dalton,"East Edward, MV",67967-136114,67967,136114,102040.5,100-120K
135,Data Analyst,Nguyen and Sons,"Youngborough, CF",119699-195649,119699,195649,157674.0,150-200K
136,NLP Engineer,Russell Inc,"Morrowview, RS",105893-197119,105893,197119,151506.0,150-200K
137,Computer Vision Engineer,Castillo and Sons,"North Sheilamouth, JP",144509-185639,144509,185639,165074.0,150-200K
138,AI Product Manager,Price PLC,"Randallside, CZ",125979-196585,125979,196585,161282.0,150-200K
139,AI Product Manager,"Payne, Vasquez and Arnold","Danielfurt, GW",96804-161412,96804,161412,129108.0,120-150K
140,Data Analyst,Roth LLC,"Royville, BG",145387-192153,145387,192153,168770.0,150-200K
141,Quant Researcher,Bryant and Sons,"Port Allisonfurt, SN",44646-126597,44646,126597,85621.5,80-100K
142,ML Engineer,"Morris, Williams and Campbell","South Heatherside, KZ",61799-124735,61799,124735,93267.0,80-100K
143,AI Product Manager,Perez Ltd,"West Susan, NG",142495-193478,142495,193478,167986.5,150-200K
144,Data Scientist,Smith-Hernandez,"Shelbyberg, AO",52111-123116,52111,123116,87613.5,80-100K
145,Data Analyst,"Barber, Green and Fernandez","Ryanberg, MD",68548-93154,68548,93154,80851.0,80-100K
146,ML Engineer,"Baker, Nichols and Chen","West Carloston, CO",82795-123262,82795,123262,103028.5,100-120K
147,AI Researcher,Crawford-Cooper,"Calderonfurt, KN",94239-122634,94239,122634,108436.5,100-120K
148,NLP Engineer,"Manning, Hernandez and Serrano","New Crystalport, BF",64790-95818,64790,95818,80304.0,80-100K
149,Data Analyst,Sanchez and Sons,"North Melissa, NL",133389-145372,133389,145372,139380.5,120-150K
150,Computer Vision Engineer,Gomez-Mosley,"East James, CR",112241-126511,112241,126511,119376.0,100-120K
151,AI Researcher,"Knox, Kirby and Rogers","Cynthiamouth, SC",66955-108050,66955,108050,87502.5,80-100K
152,ML Engineer,Johnson-Hansen,"New Christopher, KG",84480-167599,84480,167599,126039.5,120-150K
153,AI Product Manager,Allen-Carr,"West Jamesborough, BT",74795-159585,74795,159585,117190.0,100-120K
154,AI Researcher,Carroll-Peterson,"Lake Amanda, PG",128089-227314,128089,227314,177701.5,150-200K
155,NLP Engineer,Castillo and Sons,"New Monicaborough, KH",59563-117049,59563,117049,88306.0,80-100K
156,Data Analyst,Dixon-Fields,"New Christinastad, GY",124014-215657,124014,215657,169835.5,150-200K
157,Computer Vision Engineer,Ashley-Espinoza,"Elizabethchester, KZ",82670-112083,82670,112083,97376.5,80-100K
158,NLP Engineer,"Scott, Nelson and Cooke","Hayesberg, AG",99523-190227,99523,190227,144875.0,120-150K
159,Quant Researcher,Wright-Pennington,"Bentonland, BG",63560-115745,63560,115745,89652.5,80-100K
160,Data Analyst,Garcia-Martinez,"Michaeltown, UY",96246-127172,96246,127172,111709.0,100-120K
161,Quant Researcher,Ryan-Ward,"Hernandezfurt, MX",133411-230008,133411,230008,181709.5,150-200K
162,NLP Engineer,"Ross, Torres and Griffith","Jessicamouth, PS",44241-67386,44241,67386,55813.5,<60K
163,ML Engineer,"Contreras, Taylor and Nelson","North Danielfort, LC",42621-93559,42621,93559,68090.0,60-80K
164,NLP Engineer,French Inc,"East Ritaburgh, AM",75069-172405,75069,172405,123737.0,120-150K
165,AI Product Manager,"Roth, Le and Hamilton","Lake Eriktown, TZ",110005-156652,110005,156652,133328.5,120-150K
166,Computer Vision Engineer,"Boyd, Gallagher and Thompson","Brandonton, RO",127733-156796,127733,156796,142264.5,120-150K
167,Computer Vision Engineer,Benjamin-Nguyen,"Barryborough, JM",81580-132667,81580,132667,107123.5,100-120K
168,Data Analyst,Coleman-Jimenez,"West Alexanderberg, MG",46318-73935,46318,73935,60126.5,60-80K
169,Data Analyst,Williams-Gross,"Ericport, BR",83360-173396,83360,173396,128378.0,120-150K
170,ML Engineer,Gonzalez Ltd,"Johnsonmouth, BS",50841-149011,50841,149011,99926.0,80-100K
171,AI Product Manager,Hart-Miller,"South Gary, BN",84196-183723,84196,183723,133959.5,120-150K
172,AI Researcher,Kim Inc,"West Ralphview, SL",92704-181511,92704,181511,137107.5,120-150K
173,Data Scientist,Horton LLC,"Debraview, HU",61245-133612,61245,133612,97428.5,80-100K
174,AI Product Manager,Mendoza Ltd,"North Michael, CU",91839-153147,91839,153147,122493.0,120-150K
175,AI Product Manager,"Alexander, Warner and Mendez","Joneston, TL",65330-149814,65330,149814,107572.0,100-120K
176,NLP Engineer,Williams Ltd,"Port Ariel, TR",142316-210339,142316,210339,176327.5,150-200K
177,Quant Researcher,Mills Group,"Johnathanmouth, HN",86369-153860,86369,153860,120114.5,120-150K
178,AI Product Manager,Jordan-Graves,"East Jennifer, EE",123834-203953,123834,203953,163893.5,150-200K
179,AI Product Manager,Casey-Smith,"Romerobury, BI",86874-127959,86874,127959,107416.5,100-120K
180,AI Researcher,Melton-Turner,"West Chelseafurt, AU",91853-143054,91853,143054,117453.5,100-120K
181,Data Analyst,Gutierrez-Hernandez,"Lake Thomas, MD",115282-183026,115282,183026,149154.0,120-150K
182,NLP Engineer,"Oliver, Tran and Jackson","North Briannafort, PH",100075-181375,100075,181375,140725.0,120-150K
183,AI Researcher,Diaz-Hardy,"Davidstad, BY",84286-155592,84286,155592,119939.0,100-120K
184,Quant Researcher,White-Hayes,"West Derek, VU",81464-148211,81464,148211,114837.5,100-120K
185,Computer Vision Engineer,Dominguez Ltd,"East Christopher, EE",142464-186808,142464,186808,164636.0,150-200K
186,Data Analyst,"Welch, Green and Williams","Emmafurt, GN",121357-161420,121357,161420,141388.5,120-150K
187,AI Researcher,Reed LLC,"Andreside, GA",126266-151205,126266,151205,138735.5,120-150K
188,Computer Vision Engineer,Brown and Sons,"New Donald, CU",43986-115213,43986,115213,79599.5,60-80K
189,Data Scientist,Gutierrez Group,"New Andrea, ST",62157-96230,62157,96230,79193.5,60-80K
190,AI Product Manager,"Robinson, Stafford and Hoffman","Palmerburgh, CF",102546-120953,102546,120953,111749.5,100-120K
191,Data Analyst,"Wu, Browning and Ramos","North Louis, UY",79611-163781,79611,163781,121696.0,120-150K
192,AI Researcher,Jones-Curtis,"North Nataliemouth, SR",142867-168105,142867,168105,155486.0,150-200K
193,ML Engineer,Lewis-Brooks,"Owenshaven, LY",63520-101934,63520,101934,82727.0,80-100K
194,Data Scientist,"Hobbs, Lawson and Robertson","Port Ricardo, SR",116202-179210,116202,179210,147706.0,120-150K
195,Quant Researcher,"Gonzales, Lane and Hart","Kaylaland, DE",137620-173474,137620,173474,155547.0,150-200K
196,NLP Engineer,Kim PLC,"North Jamietown, KE",131485-218283,131485,218283,174884.0,150-200K
197,AI Product Manager,"Vasquez, Fleming and Jones","East Melindastad, TO",117341-158797,117341,158797,138069.0,120-150K
198,Data Analyst,Rice Inc,"East Linda, KP",123706-167631,123706,167631,145668.5,120-150K
199,Quant Researcher,"Morris, Jensen and Hamilton","Port Mckenzie, BO",43828-96329,43828,96329,70078.5,60-80K
200,AI Product Manager,Gonzalez and Sons,"New Traceyborough, BG",130984-170051,130984,170051,150517.5,150-200K
201,Data Scientist,Robinson-Hall,"Flowersberg, MG",125831-194965,125831,194965,160398.0,150-200K
202,AI Product Manager,Mendoza Ltd,"Chandlerville, RS",96628-121086,96628,121086,108857.0,100-120K
203,NLP Engineer,Richards-Barnes,"Williamton, TM",85788-132802,85788,132802,109295.0,100-120K
204,Quant Researcher,Bailey-Harris,"Lake Sarah, SY",147975-247578,147975,247578,197776.5,150-200K
205,Data Analyst,Soto and Sons,"East Johnton, HR",48226-90071,48226,90071,69148.5,60-80K
206,Data Scientist,Williams Ltd,"Samuelhaven, BO",62447-129068,62447,129068,95757.5,80-100K
207,Computer Vision Engineer,Lane-Weaver,"Garciamouth, KI",110876-127413,110876,127413,119144.5,100-120K
208,AI Product Manager,Hernandez PLC,"Lake Charlesmouth, CL",85915-109356,85915,109356,97635.5,80-100K
209,AI Product Manager,Ortiz-Mcfarland,"Reyesview, NR",143326-161834,143326,161834,152580.0,150-200K
210,Data Scientist,Rice-Hendricks,"East William, NZ",89991-179017,89991,179017,134504.0,120-150K
211,Computer Vision Engineer,"Brown, Jackson and Carr","Greeneton, LU",67897-156557,67897,156557,112227.0,100-120K
212,AI Product Manager,"Kelley, Steele and Bell","South Anthonyfurt, BO",44318-101581,44318,101581,72949.5,60-80K
213,Data Analyst,Cline PLC,"Hannahside, KI",67657-112933,67657,112933,90295.0,80-100K
214,Quant Researcher,Shah-White,"Lake Erikburgh, ZM",97752-152521,97752,152521,125136.5,120-150K
215,Data Scientist,Davis-Butler,"South Zacharyburgh, ES",93403-169785,93403,169785,131594.0,120-150K
216,NLP Engineer,"Newton, Kelly and Martinez","Lake Johnchester, CG",143054-182950,143054,182950,163002.0,150-200K
217,Computer Vision Engineer,Berry-Lewis,"Melissaton, LA",123977-182190,123977,182190,153083.5,150-200K
218,AI Researcher,"Brandt, Fuller and Cruz","New Sydneyton, PH",108708-183957,108708,183957,146332.5,120-150K
219,Quant Researcher,Turner PLC,"Jasonfurt, BW",42431-121809,42431,121809,82120.0,80-100K
220,AI Researcher,Sanchez Ltd,"Barnetthaven, IN",129721-169068,129721,169068,149394.5,120-150K
221,ML Engineer,Crawford Group,"Abbottmouth, IN",51999-114433,51999,114433,83216.0,80-100K
222,Data Scientist,"Humphrey, Barrett and Colon","Davidmouth, IE",133703-230141,133703,230141,181922.0,150-200K
223,Quant Researcher,Obrien PLC,"Mariochester, BY",75109-126693,75109,126693,100901.0,100-120K
224,Data Analyst,"Stanton, Martin and Martin","West Sally, GR",102227-124205,102227,124205,113216.0,100-120K
225,AI Researcher,"James, Payne and Roth","West Ernest, BY",77125-136585,77125,136585,106855.0,100-120K
226,Computer Vision Engineer,"Bowen, Flores and Williams","Alanside, SK",114539-151150,114539,151150,132844.5,120-150K
227,Quant Researcher,Flynn LLC,"Carrollview, HN",42773-105072,42773,105072,73922.5,60-80K
228,AI Researcher,"Campos, Floyd and Clark","Changside, DJ",122640-208762,122640,208762,165701.0,150-200K
229,AI Product Manager,"Henderson, Lynch and Lindsey","Thomasland, NI",90611-152714,90611,152714,121662.5,120-150K
230,AI Product Manager,Mitchell-Peters,"Melissaview, GN",61529-88876,61529,88876,75202.5,60-80K
231,AI Product Manager,Mcfarland Inc,"Gatesburgh, ZM",62907-140660,62907,140660,101783.5,100-120K
232,AI Product Manager,Jones and Sons,"Lake Jose, ML",87618-184731,87618,184731,136174.5,120-150K
233,Computer Vision Engineer,"Nash, Anderson and Brown","New Jeffrey, SV",129185-169420,129185,169420,149302.5,120-150K
234,Data Analyst,"Whitehead, Summers and Nelson","East Bryce, IS",127161-187759,127161,187759,157460.0,150-200K
235,NLP Engineer,Gonzalez-Thompson,"Graceville, TO",91557-109518,91557,109518,100537.5,100-120K
236,AI Product Manager,"Simon, Price and Dickson","Williamsside, NE",85776-173610,85776,173610,129693.0,120-150K
237,AI Researcher,Strickland-Stevenson,"East Mary, LI",95255-160292,95255,160292,127773.5,120-150K
238,AI Researcher,Kramer Inc,"Garzaside, NA",70536-137707,70536,137707,104121.5,100-120K
239,AI Product Manager,Mahoney-Collins,"Marktown, AO",56526-149136,56526,149136,102831.0,100-120K
240,Quant Researcher,Ortiz PLC,"South Staceyport, IN",40077-124906,40077,124906,82491.5,80-100K
241,Data Analyst,"Donaldson, Cox and Lopez","Port Marcusville, US",136304-175873,136304,175873,156088.5,150-200K
242,Computer Vision Engineer,"Clark, Baker and Parks","Singhfort, PA",45264-63508,45264,63508,54386.0,<60K
243,Computer Vision Engineer,Anderson-Gonzalez,"Samuelton, DK",70448-88238,70448,88238,79343.0,60-80K
244,Data Analyst,Walker-Becker,"Port Andrewside, MT",132241-182322,132241,182322,157281.5,150-200K
245,Data Scientist,Hall Group,"New Manuelbury, LS",97077-144023,97077,144023,120550.0,120-150K
246,Data Scientist,Blake-Daugherty,"Lake Adamfurt, BR",93070-155510,93070,155510,124290.0,120-150K
247,Quant Researcher,Powers Group,"Grahamshire, PH",110751-196979,110751,196979,153865.0,150-200K
248,Data Scientist,Bernard-Herrera,"Port Denise, MV",57928-153531,57928,153531,105729.5,100-120K
249,AI Product Manager,Thomas Group,"New Melissa, KM",139669-235176,139669,235176,187422.5,150-200K
250,Data Scientist,Phelps-Johnson,"Lake Kristen, SY",76192-110813,76192,110813,93502.5,80-100K
251,AI Researcher,Young-Brown,"North Samuel, UY",86522-144139,86522,144139,115330.5,100-120K
252,NLP Engineer,"Alvarez, Martinez and Miller","Kimberlyfort, MN",40634-94055,40634,94055,67344.5,60-80K
253,Computer Vision Engineer,Phillips-Baker,"West James, SG",50432-62117,50432,62117,56274.5,<60K
254,Data Scientist,Cochran-Bailey,"West Andrew, NA",92187-143257,92187,143257,117722.0,100-120K
255,AI Product Manager,Vazquez LLC,"East Bruce, AM",139231-220256,139231,220256,179743.5,150-200K
256,AI Product Manager,Carey and Sons,"Robertfort, LK",116281-126487,116281,126487,121384.0,120-150K
257,AI Product Manager,"Marshall, Mccoy and Montgomery","Greggbury, KI",66964-130664,66964,130664,98814.0,80-100K
258,ML Engineer,Hart-Peterson,"South Christopher, CN",72900-93392,72900,93392,83146.0,80-100K
259,AI Researcher,Clark-Sharp,"Lake Mark, BN",122910-218807,122910,218807,170858.5,150-200K
260,NLP Engineer,"Daniels, Martinez and Brown","Mariestad, SG",60661-137033,60661,137033,98847.0,80-100K
261,Data Analyst,Lawson-Mitchell,"Jacobchester, PL",51191-106210,51191,106210,78700.5,60-80K
262,Data Scientist,"James, Johnson and Pineda","Maxwellburgh, JO",67972-161749,67972,161749,114860.5,100-120K
