job_id,job_title,company_name,location,posted_date,posted_year,posted_month,posted_quarter,posted_day_of_week,days_since_posted
118,Data Analyst,"Hudson, Burton and Campbell","Sullivanburgh, BJ",2024-04-05,2024,4,2,4,613
119,NLP Engineer,Roberson Inc,"New Justin, ZW",2024-01-01,2024,1,1,0,708
120,NLP Engineer,Gutierrez PLC,"West Fredside, PW",2025-08-10,2025,8,3,6,121
121,AI Researcher,"King, Chambers and Brown","Eriktown, GT",2024-10-08,2024,10,4,1,427
122,AI Researcher,Shannon LLC,"Port Robert, TR",2024-07-10,2024,7,3,2,517
123,Computer Vision Engineer,Thompson-Norris,"Davidfort, CU",2024-10-08,2024,10,4,1,427
124,Quant Researcher,Davis and Sons,"Carrollland, SE",2023-10-31,2023,10,4,1,770
125,NLP Engineer,"Reed, Garcia and French","West Richardborough, BE",2025-08-03,2025,8,3,6,128
126,Computer Vision Engineer,Anderson-Cruz,"Jasonshire, TH",2025-04-07,2025,4,2,0,246
127,Quant Researcher,King PLC,"East Sheriton, SV",2024-03-10,2024,3,1,6,639
128,AI Product Manager,Baker-Gomez,"Sarahview, SE",2024-11-22,2024,11,4,4,382
129,NLP Engineer,"Patterson, Bruce and Herring","Davechester, LR",2024-12-31,2024,12,4,1,343
130,Data Analyst,Jackson Inc,"Allenton, UG",2025-03-11,2025,3,1,1,273
131,NLP Engineer,"Thompson, Lewis and Gonzalez","Westland, KM",2024-09-23,2024,9,3,0,442
132,NLP Engineer,Mclean Inc,"Shermanshire, MM",2025-02-09,2025,2,1,6,303
133,AI Researcher,Moore Inc,"Jamesborough, GB",2025-04-23,2025,4,2,2,230
134,AI Researcher,Flores-Dalton,"East Edward, MV",2025-09-01,2025,9,3,0,99
135,Data Analyst,Nguyen and Sons,"Youngborough, CF",2024-02-29,2024,2,1,3,649
136,NLP Engineer,Russell Inc,"Morrowview, RS",2024-12-30,2024,12,4,0,344
137,Computer Vision Engineer,Castillo and Sons,"North Sheilamouth, JP",2024-09-02,2024,9,3,0,463
138,AI Product Manager,Price PLC,"Randallside, CZ",2024-03-05,2024,3,1,1,644
139,AI Product Manager,"Payne, Vasquez and Arnold","Danielfurt, GW",2024-01-14,2024,1,1,6,695
140,Data Analyst,Roth LLC,"Royville, BG",2025-08-26,2025,8,3,1,105
141,Quant Researcher,Bryant and Sons,"Port Allisonfurt, SN",2025-06-07,2025,6,2,5,185
142,ML Engineer,"Morris, Williams and Campbell","South Heatherside, KZ",2024-05-14,2024,5,2,1,574
143,AI Product Manager,Perez Ltd,"West Susan, NG",2025-04-04,2025,4,2,4,249
144,Data Scientist,Smith-Hernandez,"Shelbyberg, AO",2024-01-05,2024,1,1,4,704
145,Data Analyst,"Barber, Green and Fernandez","Ryanberg, MD",2024-07-30,2024,7,3,1,497
146,ML Engineer,"Baker, Nichols and Chen","West Carloston, CO",2025-03-10,2025,3,1,0,274
147,AI Researcher,Crawford-Cooper,"Calderonfurt, KN",2025-08-17,2025,8,3,6,114
148,NLP Engineer,"Manning, Hernandez and Serrano","New Crystalport, BF",2023-12-19,2023,12,4,1,721
149,Data Analyst,Sanchez and Sons,"North Melissa, NL",2025-09-17,2025,9,3,2,83
150,Computer Vision Engineer,Gomez-Mosley,"East James, CR",2024-12-28,2024,12,4,5,346
151,AI Researcher,"Knox, Kirby and Rogers","Cynthiamouth, SC",2024-03-08,2024,3,1,4,641
152,ML Engineer,Johnson-Hansen,"New Christopher, KG",2024-03-21,2024,3,1,3,628
153,AI Product Manager,Allen-Carr,"West Jamesborough, BT",2023-12-14,2023,12,4,3,726
154,AI Researcher,Carroll-Peterson,"Lake Amanda, PG",2024-07-27,2024,7,3,5,500
155,NLP Engineer,Castillo and Sons,"New Monicaborough, KH",2024-06-04,2024,6,2,1,553
156,Data Analyst,Dixon-Fields,"New Christinastad, GY",2024-11-23,2024,11,4,5,381
157,Computer Vision Engineer,Ashley-Espinoza,"Elizabethchester, KZ",2025-06-23,2025,6,2,0,169
158,NLP Engineer,"Scott, Nelson and Cooke","Hayesberg, AG",2025-01-02,2025,1,1,3,341
159,Quant Researcher,Wright-Pennington,"Bentonland, BG",2025-09-14,2025,9,3,6,86
160,Data Analyst,Garcia-Martinez,"Michaeltown, UY",2025-03-16,2025,3,1,6,268
161,Quant Researcher,Ryan-Ward,"Hernandezfurt, MX",2024-02-05,2024,2,1,0,673
162,NLP Engineer,"Ross, Torres and Griffith","Jessicamouth, PS",2023-12-04,2023,12,4,0,736
163,ML Engineer,"Contreras, Taylor and Nelson","North Danielfort, LC",2025-03-16,2025,3,1,6,268
164,NLP Engineer,French Inc,"East Ritaburgh, AM",2025-08-06,2025,8,3,2,125
165,AI Product Manager,"Roth, Le and Hamilton","Lake Eriktown, TZ",2025-04-14,2025,4,2,0,239
166,Computer Vision Engineer,"Boyd, Gallagher and Thompson","Brandonton, RO",2025-09-16,2025,9,3,1,84
167,Computer Vision Engineer,Benjamin-Nguyen,"Barryborough, JM",2024-04-16,2024,4,2,1,602
168,Data Analyst,Coleman-Jimenez,"West Alexanderberg, MG",2024-10-18,2024,10,4,4,417
169,Data Analyst,Williams-Gross,"Ericport, BR",2024-12-11,2024,12,4,2,363
170,ML Engineer,Gonzalez Ltd,"Johnsonmouth, BS",2025-05-02,2025,5,2,4,221
171,AI Product Manager,Hart-Miller,"South Gary, BN",2025-03-15,2025,3,1,5,269
172,AI Researcher,Kim Inc,"West Ralphview, SL",2024-05-25,2024,5,2,5,563
173,Data Scientist,Horton LLC,"Debraview, HU",2024-01-31,2024,1,1,2,678
174,AI Product Manager,Mendoza Ltd,"North Michael, CU",2024-08-01,2024,8,3,3,495
175,AI Product Manager,"Alexander, Warner and Mendez","Joneston, TL",2025-01-24,2025,1,1,4,319
176,NLP Engineer,Williams Ltd,"Port Ariel, TR",2025-01-21,2025,1,1,1,322
177,Quant Researcher,Mills Group,"Johnathanmouth, HN",2025-04-29,2025,4,2,1,224
178,AI Product Manager,Jordan-Graves,"East Jennifer, EE",2025-08-01,2025,8,3,4,130
179,AI Product Manager,Casey-Smith,"Romerobury, BI",2024-10-07,2024,10,4,0,428
180,AI Researcher,Melton-Turner,"West Chelseafurt, AU",2024-02-22,2024,2,1,3,656
181,Data Analyst,Gutierrez-Hernandez,"Lake Thomas, MD",2025-05-23,2025,5,2,4,200
182,NLP Engineer,"Oliver, Tran and Jackson","North Briannafort, PH",2024-06-08,2024,6,2,5,549
183,AI Researcher,Diaz-Hardy,"Davidstad, BY",2024-08-22,2024,8,3,3,474
184,Quant Researcher,White-Hayes,"West Derek, VU",2024-03-26,2024,3,1,1,623
185,Computer Vision Engineer,Dominguez Ltd,"East Christopher, EE",2025-01-29,2025,1,1,2,314
186,Data Analyst,"Welch, Green and Williams","Emmafurt, GN",2024-10-21,2024,10,4,0,414
187,AI Researcher,Reed LLC,"Andreside, GA",2024-01-20,2024,1,1,5,689
188,Computer Vision Engineer,Brown and Sons,"New Donald, CU",2024-09-14,2024,9,3,5,451
189,Data Scientist,Gutierrez Group,"New Andrea, ST",2024-09-29,2024,9,3,6,436
190,AI Product Manager,"Robinson, Stafford and Hoffman","Palmerburgh, CF",2024-05-30,2024,5,2,3,558
191,Data Analyst,"Wu, Browning and Ramos","North Louis, UY",2024-10-28,2024,10,4,0,407
192,AI Researcher,Jones-Curtis,"North Nataliemouth, SR",2024-01-25,2024,1,1,3,684
193,ML Engineer,Lewis-Brooks,"Owenshaven, LY",2024-02-11,2024,2,1,6,667
194,Data Scientist,"Hobbs, Lawson and Robertson","Port Ricardo, SR",2024-05-19,2024,5,2,6,569
195,Quant Researcher,"Gonzales, Lane and Hart","Kaylaland, DE",2023-11-04,2023,11,4,5,766
196,NLP Engineer,Kim PLC,"North Jamietown, KE",2024-12-08,2024,12,4,6,366
197,AI Product Manager,"Vasquez, Fleming and Jones","East Melindastad, TO",2024-08-27,2024,8,3,1,469
198,Data Analyst,Rice Inc,"East Linda, KP",2024-08-15,2024,8,3,3,481
199,Quant Researcher,"Morris, Jensen and Hamilton","Port Mckenzie, BO",2024-04-01,2024,4,2,0,617
200,AI Product Manager,Gonzalez and Sons,"New Traceyborough, BG",2025-06-17,2025,6,2,1,175
201,Data Scientist,Robinson-Hall,"Flowersberg, MG",2024-12-31,2024,12,4,1,343
202,AI Product Manager,Mendoza Ltd,"Chandlerville, RS",2024-11-07,2024,11,4,3,397
203,NLP Engineer,Richards-Barnes,"Williamton, TM",2024-02-16,2024,2,1,4,662
204,Quant Researcher,Bailey-Harris,"Lake Sarah, SY",2025-05-12,2025,5,2,0,211
205,Data Analyst,Soto and Sons,"East Johnton, HR",2024-12-24,2024,12,4,1,350
206,Data Scientist,Williams Ltd,"Samuelhaven, BO",2025-01-22,2025,1,1,2,321
207,Computer Vision Engineer,Lane-Weaver,"Garciamouth, KI",2024-05-18,2024,5,2,5,570
208,AI Product Manager,Hernandez PLC,"Lake Charlesmouth, CL",2023-10-13,2023,10,4,4,788
209,AI Product Manager,Ortiz-Mcfarland,"Reyesview, NR",2024-01-09,2024,1,1,1,700
210,Data Scientist,Rice-Hendricks,"East William, NZ",2024-01-01,2024,1,1,0,708
211,Computer Vision Engineer,"Brown, Jackson and Carr","Greeneton, LU",2023-11-08,2023,11,4,2,762
212,AI Product Manager,"Kelley, Steele and Bell","South Anthonyfurt, BO",2024-01-16,2024,1,1,1,693
213,Data Analyst,Cline PLC,"Hannahside, KI",2024-12-31,2024,12,4,1,343
214,Quant Researcher,Shah-White,"Lake Erikburgh, ZM",2025-01-29,2025,1,1,2,314
215,Data Scientist,Davis-Butler,"South Zacharyburgh, ES",2024-01-13,2024,1,1,5,696
216,NLP Engineer,"Newton, Kelly and Martinez","Lake Johnchester, CG",2024-01-08,2024,1,1,0,701
217,Computer Vision Engineer,Berry-Lewis,"Melissaton, LA",2023-10-24,2023,10,4,1,777
218,AI Researcher,"Brandt, Fuller and Cruz","New Sydneyton, PH",2024-07-09,2024,7,3,1,518
219,Quant Researcher,Turner PLC,"Jasonfurt, BW",2024-09-09,2024,9,3,0,456
220,AI Researcher,Sanchez Ltd,"Barnetthaven, IN",2025-03-16,2025,3,1,6,268
221,ML Engineer,Crawford Group,"Abbottmouth, IN",2024-11-06,2024,11,4,2,398
222,Data Scientist,"Humphrey, Barrett and Colon","Davidmouth, IE",2024-06-20,2024,6,2,3,537
223,Quant Researcher,Obrien PLC,"Mariochester, BY",2025-06-17,2025,6,2,1,175
224,Data Analyst,"Stanton, Martin and Martin","West Sally, GR",2024-06-06,2024,6,2,3,551
225,AI Researcher,"James, Payne and Roth","West Ernest, BY",2024-09-08,2024,9,3,6,457
226,Computer Vision Engineer,"Bowen, Flores and Williams","Alanside, SK",2024-10-02,2024,10,4,2,433
227,Quant Researcher,Flynn LLC,"Carrollview, HN",2023-10-01,2023,10,4,6,800
228,AI Researcher,"Campos, Floyd and Clark","Changside, DJ",2024-05-13,2024,5,2,0,575
229,AI Product Manager,"Henderson, Lynch and Lindsey","Thomasland, NI",2024-04-23,2024,4,2,1,595
230,AI Product Manager,Mitchell-Peters,"Melissaview, GN",2023-12-16,2023,12,4,5,724
231,AI Product Manager,Mcfarland Inc,"Gatesburgh, ZM",2025-04-19,2025,4,2,5,234
232,AI Product Manager,Jones and Sons,"Lake Jose, ML",2024-05-01,2024,5,2,2,587
233,Computer Vision Engineer,"Nash, Anderson and Brown","New Jeffrey, SV",2025-04-11,2025,4,2,4,242
234,Data Analyst,"Whitehead, Summers and Nelson","East Bryce, IS",2024-12-21,2024,12,4,5,353
235,NLP Engineer,Gonzalez-Thompson,"Graceville, TO",2023-12-10,2023,12,4,6,730
236,AI Product Manager,"Simon, Price and Dickson","Williamsside, NE",2024-09-11,2024,9,3,2,454
237,AI Researcher,Strickland-Stevenson,"East Mary, LI",2024-09-09,2024,9,3,0,456
238,AI Researcher,Kramer Inc,"Garzaside, NA",2024-08-24,2024,8,3,5,472
239,AI Product Manager,Mahoney-Collins,"Marktown, AO",2023-10-29,2023,10,4,6,772
240,Quant Researcher,Ortiz PLC,"South Staceyport, IN",2023-09-26,2023,9,3,1,805
241,Data Analyst,"Donaldson, Cox and Lopez","Port Marcusville, US",2025-08-19,2025,8,3,1,112
242,Computer Vision Engineer,"Clark, Baker and Parks","Singhfort, PA",2025-08-17,2025,8,3,6,114
243,Computer Vision Engineer,Anderson-Gonzalez,"Samuelton, DK",2024-05-05,2024,5,2,6,583
244,Data Analyst,Walker-Becker,"Port Andrewside, MT",2024-08-29,2024,8,3,3,467
245,Data Scientist,Hall Group,"New Manuelbury, LS",2023-12-13,2023,12,4,2,727
246,Data Scientist,Blake-Daugherty,"Lake Adamfurt, BR",2024-04-10,2024,4,2,2,608
247,Quant Researcher,Powers Group,"Grahamshire, PH",2024-10-18,2024,10,4,4,417
248,Data Scientist,Bernard-Herrera,"Port Denise, MV",2025-05-29,2025,5,2,3,194
249,AI Product Manager,Thomas Group,"New Melissa, KM",2024-09-13,2024,9,3,4,452
250,Data Scientist,Phelps-Johnson,"Lake Kristen, SY",2024-12-25,2024,12,4,2,349
251,AI Researcher,Young-Brown,"North Samuel, UY",2024-09-04,2024,9,3,2,461
252,NLP Engineer,"Alvarez, Martinez and Miller","Kimberlyfort, MN",2024-07-31,2024,7,3,2,496
253,Computer Vision Engineer,Phillips-Baker,"West James, SG",2025-05-15,2025,5,2,3,208
254,Data Scientist,Cochran-Bailey,"West Andrew, NA",2024-05-28,2024,5,2,1,560
255,AI Product Manager,Vazquez LLC,"East Bruce, AM",2025-03-21,2025,3,1,4,263
256,AI Product Manager,Carey and Sons,"Robertfort, LK",2024-06-19,2024,6,2,2,538
257,AI Product Manager,"Marshall, Mccoy and Montgomery","Greggbury, KI",2024-10-15,2024,10,4,1,420
258,ML Engineer,Hart-Peterson,"South Christopher, CN",2023-10-21,2023,10,4,5,780
259,AI Researcher,Clark-Sharp,"Lake Mark, BN",2024-04-09,2024,4,2,1,609
260,NLP Engineer,"Daniels, Martinez and Brown","Mariestad, SG",2025-08-14,2025,8,3,3,117
261,Data Analyst,Lawson-Mitchell,"Jacobchester, PL",2024-09-02,2024,9,3,0,463
262,Data Scientist,"James, Johnson and Pineda","Maxwellburgh, JO",2025-07-22,2025,7,3,1,140
263,Computer Vision Engineer,Allen-Parker,"North Dakota, BJ",2025-03-30,2025,3,1,6,254
264,Data Scientist,Russell and Sons,"Gallegosbury, MG",2024-12-08,2024,12,4,6,366
265,Data Analyst,"Peters, Mcdaniel and Adams","Pruittchester, PG",2024-02-18,2024,2,1,6,660
266,Quant Researcher,Jones PLC,"West Ricky, US",2024-11-13,2024,11,4,2,391
267,Data Analyst,"Taylor, Ruiz and Padilla","Barnettburgh, BO",2025-04-18,2025,4,2,4,235
268,AI Product Manager,Johnson-Roberson,"Port Rachel, HT",2024-10-06,2024,10,4,6,429
269,AI Researcher,Carey and Sons,"Lindastad, LB",2025-08-19,2025,8,3,1,112
270,AI Product Manager,"Willis, Smith and Norris","South Aaron, MT",2025-08-19,2025,8,3,1,112
271,AI Researcher,Gallagher Inc,"Cathyton, AL",2025-06-08,2025,6,2,6,184
272,Computer Vision Engineer,Jones Inc,"North Thomas, GM",2025-02-03,2025,2,1,0,309
273,Data Scientist,Coleman-Yoder,"Maxwellchester, LK",2024-02-19,2024,2,1,0,659
274,ML Engineer,Mcdonald Ltd,"New David, MG",2025-06-14,2025,6,2,5,178
275,AI Researcher,Anderson-Campbell,"Bestview, AG",2025-04-10,2025,4,2,3,243
276,Computer Vision Engineer,"Garner, Massey and Lozano","New Douglasburgh, TV",2025-04-29,2025,4,2,1,224
277,Data Scientist,"White, Waters and Johnson","Daleville, CL",2025-03-04,2025,3,1,1,280
278,AI Product Manager,Cox-Griffin,"East Melissatown, IN",2023-12-26,2023,12,4,1,714
279,NLP Engineer,Smith Inc,"Perezfurt, SZ",2025-09-19,2025,9,3,4,81
280,Quant Researcher,Mason Inc,"Angelafurt, BT",2025-02-14,2025,2,1,4,298
281,Data Analyst,Clark Group,"Lauraside, US",2025-04-26,2025,4,2,5,227
282,Data Analyst,Sutton-Weber,"West Anna, MK",2024-12-13,2024,12,4,4,361
283,Computer Vision Engineer,Stevenson Ltd,"Jeffreyport, IS",2024-01-19,2024,1,1,4,690
